"term","id","int_phon","norm_phon","radio","torch","tv","elec","gen","sola","piki","car","table","sofa","lat","mpesa","bank","gas_fuel","cement_brick_iron_roof","brick_cement_wall"
"id","","","","","","","","","","","","","","","","","","",""
"int_phon","-.03","","","","","","","","","","","","","","","","","",""
"norm_phon"," .07","-.23","","","","","","","","","","","","","","","","",""
"radio"," .18"," .14"," .05","","","","","","","","","","","","","","","",""
"torch"," .19"," .32","-.06"," .22","","","","","","","","","","","","","","",""
"tv"," .21"," .32","-.15"," .25"," .31","","","","","","","","","","","","","",""
"elec","-.01"," .12","-.22"," .14"," .10"," .30","","","","","","","","","","","","",""
"gen","-.03"," .14"," .01"," .07"," .08"," .15"," .30","","","","","","","","","","","",""
"sola","-.03","-.08"," .23","-.04"," .07","-.14","-.56","-.08","","","","","","","","","","",""
"piki","-.07","-.02"," .20"," .06"," .11","-.07","-.15"," .05"," .27","","","","","","","","","",""
"car"," .18"," .21"," .04"," .09"," .19"," .45"," .29"," .18","-.28","-.14","","","","","","","","",""
"table"," .04"," .15"," .12"," .21"," .39"," .14"," .07"," .03"," .28"," .09"," .07","","","","","","","",""
"sofa"," .11"," .29","-.11"," .06"," .25"," .37"," .15"," .10"," .06","-.00"," .24"," .31","","","","","","",""
"lat"," .27"," .28","-.04"," .22"," .14"," .50"," .25"," .09","-.11","-.13"," .35"," .05"," .37","","","","","",""
"mpesa","-.06"," .10"," .21"," .32"," .28"," .10"," .05"," .02"," .20"," .06"," .05"," .70"," .22"," .14","","","","",""
"bank"," .21"," .39","-.13"," .12"," .22"," .29"," .07"," .02","-.03","-.10"," .26"," .11"," .36"," .49"," .20","","","",""
"gas_fuel"," .13"," .32","-.17"," .07"," .17"," .37"," .42"," .05","-.40","-.23"," .38"," .07"," .21"," .34"," .05"," .23","","",""
"cement_brick_iron_roof"," .01"," .08"," .22"," .16"," .30"," .07"," .08"," .04"," .21"," .11","-.03"," .81"," .23"," .01"," .57"," .07"," .08","",""
"brick_cement_wall"," .36"," .22","-.01"," .11"," .22"," .57"," .38"," .08","-.28","-.09"," .37"," .11"," .34"," .55"," .07"," .33"," .46"," .13",""
